version,1,0.01*
steps,2*

m,1,concrete,33.7,36220*
m,11,steel,1.0E8,210000.0,20.5*
m,12,steel,319,208000,20.5*
m,13,steel,654,210000.0,20.5*
m,14,steel,457,210000.0,20.5*
m,15,steelLinSoft,0.472,36220,3.6*
b,431,ux,0.0*
e,38,conc3N,36,37,24,0.8,1*
e,39,conc3N,24,38,25,0.8,1*
e,40,conc3N,37,38,24,0.8,1*
e,41,conc3N,28,42,29,0.2,1*
e,42,conc3N,41,42,28,0.2,1*
e,43,conc3N,29,42,30,0.2,1*
e,44,conc3N,42,43,30,0.2,1*
e,45,conc3N,30,44,31,0.2,1*
e,46,conc3N,43,44,30,0.2,1*
e,47,conc3N,31,44,32,0.2,1*
e,48,conc3N,44,45,32,0.2,1*
e,49,conc3N,32,46,33,0.2,1*
e,50,conc3N,45,46,32,0.2,1*
e,51,conc3N,33,46,34,0.2,1*
e,52,conc3N,46,47,34,0.2,1*
e,53,conc3N,34,48,35,0.2,1*
e,54,conc3N,47,48,34,0.2,1*
e,55,conc3N,35,48,36,0.8,1*
e,56,conc3N,48,49,36,0.8,1*
e,57,conc3N,36,50,37,0.8,1*
e,58,conc3N,49,50,36,0.8,1*
e,59,conc3N,37,50,38,0.8,1*
e,60,conc3N,50,51,38,0.8,1*
e,61,conc3N,41,54,42,0.2,1*
e,62,conc3N,54,55,42,0.2,1*
e,63,conc3N,42,56,43,0.2,1*
e,64,conc3N,55,56,42,0.2,1*
e,65,conc3N,43,56,44,0.2,1*
e,66,conc3N,56,57,44,0.2,1*
e,67,conc3N,44,58,45,0.2,1*
e,68,conc3N,57,58,44,0.2,1*
e,69,conc3N,45,58,46,0.2,1*
e,70,conc3N,58,59,46,0.2,1*
e,71,conc3N,46,60,47,0.2,1*
e,72,conc3N,59,60,46,0.2,1*
e,73,conc3N,47,60,48,0.2,1*
e,74,conc3N,60,61,48,0.2,1*
e,75,conc3N,48,62,49,0.8,1*
e,76,conc3N,61,62,48,0.8,1*
e,77,conc3N,49,62,50,0.8,1*
e,78,conc3N,62,63,50,0.8,1*
e,79,conc3N,50,64,51,0.8,1*
e,80,conc3N,63,64,50,0.8,1*
e,81,conc3N,53,66,54,0.2,11*
e,82,conc3N,66,67,54,0.2,11*
e,83,conc3N,54,68,55,0.2,1*
e,84,conc3N,67,68,54,0.2,1*
e,85,conc3N,55,68,56,0.2,1*
e,86,conc3N,68,69,56,0.2,1*
e,87,conc3N,56,70,57,0.2,1*
e,88,conc3N,69,70,56,0.2,1*
e,89,conc3N,57,70,58,0.2,1*
e,90,conc3N,70,71,58,0.2,1*
e,91,conc3N,58,72,59,0.2,1*
e,92,conc3N,71,72,58,0.2,1*
e,93,conc3N,59,72,60,0.2,1*
e,94,conc3N,72,73,60,0.2,1*
e,95,conc3N,60,74,61,0.2,1*
e,96,conc3N,73,74,60,0.2,1*
e,97,conc3N,61,74,62,0.8,1*
e,98,conc3N,74,75,62,0.8,1*
e,99,conc3N,62,76,63,0.8,1*
e,100,conc3N,75,76,62,0.8,1*
e,101,conc3N,63,76,64,0.8,1*
e,102,conc3N,76,77,64,0.8,1*
e,103,conc3N,66,80,67,0.2,11*
e,104,conc3N,79,80,66,0.2,11*
e,105,conc3N,67,80,68,0.2,1*
e,106,conc3N,80,81,68,0.2,1*
e,107,conc3N,68,82,69,0.2,1*
e,108,conc3N,81,82,68,0.2,1*
e,109,conc3N,69,82,70,0.2,1*
e,110,conc3N,82,83,70,0.2,1*
e,111,conc3N,70,84,71,0.2,1*
e,112,conc3N,83,84,70,0.2,1*
e,113,conc3N,71,84,72,0.2,1*
e,114,conc3N,84,85,72,0.2,1*
e,115,conc3N,72,86,73,0.2,1*
e,116,conc3N,85,86,72,0.2,1*
e,117,conc3N,73,86,74,0.2,1*
e,118,conc3N,86,87,74,0.2,1*
e,119,conc3N,74,88,75,0.8,1*
e,120,conc3N,87,88,74,0.8,1*
e,121,conc3N,75,88,76,0.8,1*
e,122,conc3N,88,89,76,0.8,1*
e,123,conc3N,76,90,77,0.8,1*
e,124,conc3N,89,90,76,0.8,1*
e,125,conc3N,80,94,81,0.2,1*
e,126,conc3N,93,94,80,0.2,1*
e,127,conc3N,81,94,82,0.2,1*
e,128,conc3N,94,95,82,0.2,1*
e,129,conc3N,82,96,83,0.2,1*
e,130,conc3N,95,96,82,0.2,1*
e,131,conc3N,83,96,84,0.2,1*
e,132,conc3N,96,97,84,0.2,1*
e,133,conc3N,84,98,85,0.2,1*
e,134,conc3N,97,98,84,0.2,1*
e,135,conc3N,85,98,86,0.2,1*
e,136,conc3N,98,99,86,0.2,1*
e,137,conc3N,86,100,87,0.2,1*
e,138,conc3N,99,100,86,0.2,1*
e,139,conc3N,87,100,88,0.8,1*
e,140,conc3N,100,101,88,0.8,1*
e,141,conc3N,88,102,89,0.8,1*
e,142,conc3N,101,102,88,0.8,1*
e,143,conc3N,89,102,90,0.8,1*
e,144,conc3N,102,103,90,0.8,1*
e,145,conc3N,93,106,94,0.2,1*
e,146,conc3N,106,107,94,0.2,1*
e,147,conc3N,94,108,95,0.2,1*
e,148,conc3N,107,108,94,0.2,1*
e,149,conc3N,95,108,96,0.2,1*
e,150,conc3N,108,109,96,0.2,1*
e,151,conc3N,96,110,97,0.2,1*
e,152,conc3N,109,110,96,0.2,1*
e,153,conc3N,97,110,98,0.2,1*
e,154,conc3N,110,111,98,0.2,1*
e,155,conc3N,98,112,99,0.2,1*
e,156,conc3N,111,112,98,0.2,1*
e,157,conc3N,99,112,100,0.2,1*
e,158,conc3N,112,113,100,0.2,1*
e,159,conc3N,100,114,101,0.8,1*
e,160,conc3N,113,114,100,0.8,1*
e,161,conc3N,101,114,102,0.8,1*
e,162,conc3N,114,115,102,0.8,1*
e,163,conc3N,102,116,103,0.8,1*
e,164,conc3N,115,116,102,0.8,1*
e,165,conc3N,106,120,107,0.2,1*
e,166,conc3N,119,120,106,0.2,1*
e,167,conc3N,107,120,108,0.2,1*
e,168,conc3N,120,121,108,0.2,1*
e,169,conc3N,108,122,109,0.2,1*
e,170,conc3N,121,122,108,0.2,1*
e,171,conc3N,109,122,110,0.2,1*
e,172,conc3N,122,123,110,0.2,1*
e,173,conc3N,110,124,111,0.2,1*
e,174,conc3N,123,124,110,0.2,1*
e,175,conc3N,111,124,112,0.2,1*
e,176,conc3N,124,125,112,0.2,1*
e,177,conc3N,112,126,113,0.2,1*
e,178,conc3N,125,126,112,0.2,1*
e,179,conc3N,113,126,114,0.8,1*
e,180,conc3N,126,127,114,0.8,1*
e,181,conc3N,114,128,115,0.8,1*
e,182,conc3N,127,128,114,0.8,1*
e,183,conc3N,115,128,116,0.8,1*
e,184,conc3N,128,129,116,0.8,1*
e,185,conc3N,119,132,120,0.2,1*
e,186,conc3N,132,133,120,0.2,1*
e,187,conc3N,120,134,121,0.2,1*
e,188,conc3N,133,134,120,0.2,1*
e,189,conc3N,121,134,122,0.2,1*
e,190,conc3N,134,135,122,0.2,1*
e,191,conc3N,122,136,123,0.2,1*
e,192,conc3N,135,136,122,0.2,1*
e,193,conc3N,123,136,124,0.2,1*
e,194,conc3N,136,137,124,0.2,1*
e,195,conc3N,124,138,125,0.2,1*
e,196,conc3N,137,138,124,0.2,1*
e,197,conc3N,125,138,126,0.2,1*
e,198,conc3N,138,139,126,0.2,1*
e,199,conc3N,126,140,127,0.8,1*
e,200,conc3N,139,140,126,0.8,1*
e,201,conc3N,127,140,128,0.8,1*
e,202,conc3N,140,141,128,0.8,1*
e,203,conc3N,128,142,129,0.8,1*
e,204,conc3N,141,142,128,0.8,1*
e,205,conc3N,132,146,133,0.2,1*
e,206,conc3N,145,146,132,0.2,1*
e,207,conc3N,133,146,134,0.2,1*
e,208,conc3N,146,147,134,0.2,1*
e,209,conc3N,134,148,135,0.2,1*
e,210,conc3N,147,148,134,0.2,1*
e,211,conc3N,135,148,136,0.2,1*
e,212,conc3N,148,149,136,0.2,1*
e,213,conc3N,136,150,137,0.2,1*
e,214,conc3N,149,150,136,0.2,1*
e,215,conc3N,137,150,138,0.2,1*
e,216,conc3N,150,151,138,0.2,1*
e,217,conc3N,138,152,139,0.2,1*
e,218,conc3N,151,152,138,0.2,1*
e,219,conc3N,139,152,140,0.8,1*
e,220,conc3N,152,153,140,0.8,1*
e,221,conc3N,140,154,141,0.8,1*
e,222,conc3N,153,154,140,0.8,1*
e,223,conc3N,141,154,142,0.8,1*
e,224,conc3N,154,155,142,0.8,1*
e,225,conc3N,145,158,146,0.2,1*
e,226,conc3N,158,159,146,0.2,1*
e,227,conc3N,146,160,147,0.2,1*
e,228,conc3N,159,160,146,0.2,1*
e,229,conc3N,147,160,148,0.2,1*
e,230,conc3N,160,161,148,0.2,1*
e,231,conc3N,148,162,149,0.2,1*
e,232,conc3N,161,162,148,0.2,1*
e,233,conc3N,149,162,150,0.2,1*
e,234,conc3N,162,163,150,0.2,1*
e,235,conc3N,150,164,151,0.2,1*
e,236,conc3N,163,164,150,0.2,1*
e,237,conc3N,151,164,152,0.2,1*
e,238,conc3N,164,165,152,0.2,1*
e,239,conc3N,152,166,153,0.8,1*
e,240,conc3N,165,166,152,0.8,1*
e,241,conc3N,153,166,154,0.8,1*
e,242,conc3N,166,167,154,0.8,1*
e,243,conc3N,154,168,155,0.8,1*
e,244,conc3N,167,168,154,0.8,1*
e,245,conc3N,158,172,159,0.2,1*
e,246,conc3N,171,172,158,0.2,1*
e,247,conc3N,159,172,160,0.2,1*
e,248,conc3N,172,173,160,0.2,1*
e,249,conc3N,160,174,161,0.2,1*
e,250,conc3N,173,174,160,0.2,1*
e,251,conc3N,161,174,162,0.2,1*
e,252,conc3N,174,175,162,0.2,1*
e,253,conc3N,162,176,163,0.2,1*
e,254,conc3N,175,176,162,0.2,1*
e,255,conc3N,163,176,164,0.2,1*
e,256,conc3N,176,177,164,0.2,1*
e,257,conc3N,164,178,165,0.2,1*
e,258,conc3N,177,178,164,0.2,1*
e,259,conc3N,165,178,166,0.8,1*
e,260,conc3N,178,179,166,0.8,1*
e,261,conc3N,166,180,167,0.8,1*
e,262,conc3N,179,180,166,0.8,1*
e,263,conc3N,167,180,168,0.8,1*
e,264,conc3N,180,181,168,0.8,1*
e,265,conc3N,171,184,172,0.2,1*
e,266,conc3N,184,185,172,0.2,1*
e,267,conc3N,172,186,173,0.2,1*
e,268,conc3N,185,186,172,0.2,1*
e,269,conc3N,173,186,174,0.2,1*
e,270,conc3N,186,187,174,0.2,1*
e,271,conc3N,174,188,175,0.2,1*
e,272,conc3N,187,188,174,0.2,1*
e,273,conc3N,175,188,176,0.2,1*
e,274,conc3N,188,189,176,0.2,1*
e,275,conc3N,176,190,177,0.2,1*
e,276,conc3N,189,190,176,0.2,1*
e,277,conc3N,177,190,178,0.2,1*
e,278,conc3N,190,191,178,0.2,1*
e,279,conc3N,178,192,179,0.8,1*
e,280,conc3N,191,192,178,0.8,1*
e,281,conc3N,179,192,180,0.8,1*
e,282,conc3N,192,193,180,0.8,1*
e,283,conc3N,180,194,181,0.8,1*
e,284,conc3N,193,194,180,0.8,1*
e,285,conc3N,184,198,185,0.2,1*
e,286,conc3N,197,198,184,0.2,1*
e,287,conc3N,185,198,186,0.2,1*
e,288,conc3N,198,199,186,0.2,1*
e,289,conc3N,186,200,187,0.2,1*
e,290,conc3N,199,200,186,0.2,1*
e,291,conc3N,187,200,188,0.2,1*
e,292,conc3N,200,201,188,0.2,1*
e,293,conc3N,188,202,189,0.2,1*
e,294,conc3N,201,202,188,0.2,1*
e,295,conc3N,189,202,190,0.2,1*
e,296,conc3N,202,203,190,0.2,1*
e,297,conc3N,190,204,191,0.2,1*
e,298,conc3N,203,204,190,0.2,1*
e,299,conc3N,191,204,192,0.8,1*
e,300,conc3N,204,205,192,0.8,1*
e,301,conc3N,192,206,193,0.8,1*
e,302,conc3N,205,206,192,0.8,1*
e,303,conc3N,193,206,194,0.8,1*
e,304,conc3N,206,207,194,0.8,1*
e,305,conc3N,197,210,198,0.2,1*
e,306,conc3N,210,211,198,0.2,1*
e,307,conc3N,198,212,199,0.2,1*
e,308,conc3N,211,212,198,0.2,1*
e,309,conc3N,199,212,200,0.2,1*
e,310,conc3N,212,213,200,0.2,1*
e,311,conc3N,200,214,201,0.2,1*
e,312,conc3N,213,214,200,0.2,1*
e,313,conc3N,201,214,202,0.2,1*
e,314,conc3N,214,215,202,0.2,1*
e,315,conc3N,202,216,203,0.2,1*
e,316,conc3N,215,216,202,0.2,1*
e,317,conc3N,203,216,204,0.2,1*
e,318,conc3N,216,217,204,0.2,1*
e,319,conc3N,204,218,205,0.8,1*
e,320,conc3N,217,218,204,0.8,1*
e,321,conc3N,205,218,206,0.8,1*
e,322,conc3N,218,219,206,0.8,1*
e,323,conc3N,206,220,207,0.8,1*
e,324,conc3N,219,220,206,0.8,1*
e,325,conc3N,210,224,211,0.2,1*
e,326,conc3N,223,224,210,0.2,1*
e,327,conc3N,211,224,212,0.2,1*
e,328,conc3N,224,225,212,0.2,1*
e,329,conc3N,212,226,213,0.2,1*
e,330,conc3N,225,226,212,0.2,1*
e,331,conc3N,213,226,214,0.2,1*
e,332,conc3N,226,227,214,0.2,1*
e,333,conc3N,214,228,215,0.2,1*
e,334,conc3N,227,228,214,0.2,1*
e,335,conc3N,215,228,216,0.2,1*
e,336,conc3N,228,229,216,0.2,1*
e,337,conc3N,216,230,217,0.2,1*
e,338,conc3N,229,230,216,0.2,1*
e,339,conc3N,217,230,218,0.8,1*
e,340,conc3N,230,231,218,0.8,1*
e,341,conc3N,218,232,219,0.8,1*
e,342,conc3N,231,232,218,0.8,1*
e,343,conc3N,219,232,220,0.8,1*
e,344,conc3N,232,233,220,0.8,1*
e,345,conc3N,223,236,224,0.2,1*
e,346,conc3N,236,237,224,0.2,1*
e,347,conc3N,224,238,225,0.2,1*
e,348,conc3N,237,238,224,0.2,1*
e,349,conc3N,225,238,226,0.2,1*
e,350,conc3N,238,239,226,0.2,1*
e,351,conc3N,226,240,227,0.2,1*
e,352,conc3N,239,240,226,0.2,1*
e,353,conc3N,227,240,228,0.2,1*
e,354,conc3N,240,241,228,0.2,1*
e,355,conc3N,228,242,229,0.2,1*
e,356,conc3N,241,242,228,0.2,1*
e,357,conc3N,229,242,230,0.2,1*
e,358,conc3N,242,243,230,0.2,1*
e,359,conc3N,230,244,231,0.8,1*
e,360,conc3N,243,244,230,0.8,1*
e,361,conc3N,231,244,232,0.8,1*
e,362,conc3N,244,245,232,0.8,1*
e,363,conc3N,232,246,233,0.8,1*
e,364,conc3N,245,246,232,0.8,1*
e,365,conc3N,236,250,237,0.2,1*
e,366,conc3N,249,250,236,0.2,1*
e,367,conc3N,237,250,238,0.2,1*
e,368,conc3N,250,251,238,0.2,1*
e,369,conc3N,238,252,239,0.2,1*
e,370,conc3N,251,252,238,0.2,1*
e,371,conc3N,239,252,240,0.2,1*
e,372,conc3N,252,253,240,0.2,1*
e,373,conc3N,240,254,241,0.2,1*
e,374,conc3N,253,254,240,0.2,1*
e,375,conc3N,241,254,242,0.2,1*
e,376,conc3N,254,255,242,0.2,1*
